botid; date; time; press; nit; chl; l12; d12
#; mmddyy; hhmmss; dbar; umol/kg; ug/l; mg C/m3; mg C/m3
790201404;10997;81056;149.9;-9;0.04;-9;-9
790201403;10997;80904;176.3;-9;0.01;-9;-9
790210008;10897;-9;5;-9;0.09;6.383;0.173
790210007;10897;-9;25;-9;0.07;4.38;0.183
790210006;10897;-9;45;-9;0.09;0.71;0.25
790210005;10897;-9;75;-9;0.22;3.01;0.14
790210004;10897;-9;100;-9;0.14;0.793;0.137
790210003;10897;-9;125;-9;0.09;0.243;0.08
790210002;10897;-9;150;-9;0.05;0.117;0.123
790210001;10897;-9;175;-9;0.02;0.043;0.043
800200124;21797;152437;4.7;0;-9;-9;-9
800200123;21797;151945;214.4;1.08;-9;-9;-9
800200224;21797;191505;4;0.01;-9;-9;-9
800200223;21797;191317;50.1;0;-9;-9;-9
800200222;21797;191125;110.8;0.04;-9;-9;-9
800200221;21797;190931;175.4;0.45;-9;-9;-9
800200220;21797;190802;203.7;1.77;-9;-9;-9
800200219;21797;190651;224.1;2.4;-9;-9;-9
800200218;21797;190455;275.1;6.74;-9;-9;-9
800200217;21797;190355;284.6;6.92;-9;-9;-9
800200517;21897;35601;4.4;0.01;-9;-9;-9
800200516;21897;35141;200.2;0.99;-9;-9;-9
800200514;21897;34919;225.8;1.88;-9;-9;-9
800200513;21897;34803;234.6;2.1;-9;-9;-9
800200512;21897;34701;251;2.72;-9;-9;-9
800200511;21897;34543;274.5;4.59;-9;-9;-9
800200510;21897;34433;299.6;6.47;-9;-9;-9
800200622;21897;70826;4.5;0;0.09;-9;-9
800200621;21897;70712;15.2;0.01;0.09;-9;-9
800200619;21897;70558;24.5;0.01;0.1;-9;-9
800200618;21897;70438;33.9;0;0.1;-9;-9
800200617;21897;70324;44.4;0.01;0.1;-9;-9
800200616;21897;70158;60.1;0.03;0.11;-9;-9
800200615;21897;70040;74.5;0.03;0.12;-9;-9
800200614;21897;65934;84.4;0.03;0.13;-9;-9
800200613;21897;65814;94.2;0.03;0.18;-9;-9
800200612;21897;65708;104.7;0.05;0.28;-9;-9
800200611;21897;65548;114.4;0.06;0.29;-9;-9
800200610;21897;65434;124.5;0.09;0.27;-9;-9
800200609;21897;65316;135.8;0.12;0.26;-9;-9
800200608;21897;65144;150;0.18;0.16;-9;-9
800200607;21897;65040;160;-9;0.08;-9;-9
800200606;21897;64920;174.1;0.45;0.06;-9;-9
800200604;21897;64612;200.6;1.36;0.03;-9;-9
800201510;21997;101302;24.5;-9;0.09;-9;-9
800201509;21997;101116;45.1;-9;0.09;-9;-9
800201508;21997;100936;74.2;-9;0.15;-9;-9
800201507;21997;100800;100;-9;0.26;-9;-9
800201506;21997;100642;115;-9;0.27;-9;-9
800201505;21997;100534;124.4;-9;0.24;-9;-9
800201504;21997;100416;134.8;-9;0.13;-9;-9
800201503;21997;100310;148.9;-9;0.09;-9;-9
800201502;21997;100152;175.5;-9;0.07;-9;-9
800210008;21897;-9;5;-9;0.1;6.293;0.147
800210007;21897;-9;25;-9;0.1;4.92;0.19
800210006;21897;-9;45;-9;0.09;2.533;0.203
800210005;21897;-9;75;-9;0.12;3.52;0.25
800210004;21897;-9;100;-9;0.2;2.257;0.187
800210003;21897;-9;125;-9;0.22;0.723;0.147
800210001;21897;-9;175;-9;0.07;0.107;0.063
810200124;31197;174344;4.4;0;-9;-9;-9
810200123;31197;174128;73;0.01;-9;-9;-9
810200224;31197;203847;4.7;0;-9;-9;-9
810200223;31197;203641;74.8;0.01;-9;-9;-9
810200222;31197;203545;86.8;0.02;-9;-9;-9
810200221;31197;203417;119.7;0.28;-9;-9;-9
810200220;31197;203247;156.5;1.87;-9;-9;-9
810200219;31197;203041;227.1;4.31;-9;-9;-9
810200516;31297;40139;210;4.13;-9;-9;-9
810200515;31297;40033;225.1;5.7;-9;-9;-9
810200514;31297;35943;234.4;6.05;-9;-9;-9
810200513;31297;35843;249.2;7.06;-9;-9;-9
810200512;31297;35721;275.9;9.48;-9;-9;-9
810200511;31297;35603;299.6;11.85;-9;-9;-9
810200622;31297;70732;4.5;-0.01;0.07;-9;-9
810200621;31297;70624;14.5;0;0.09;-9;-9
810200619;31297;70456;24.8;0;0.1;-9;-9
810200618;31297;70344;35.5;0.02;0.12;-9;-9
810200617;31297;70232;44.6;0.02;0.11;-9;-9
810200616;31297;70114;59.9;0.01;0.16;-9;-9
810200615;31297;65946;75.2;0.02;0.18;-9;-9
810200614;31297;65832;85.5;0.02;0.19;-9;-9
810200613;31297;65722;95;0.02;0.18;-9;-9
810200612;31297;65606;105;0.05;0.17;-9;-9
810200611;31297;65454;115.4;0.09;0.22;-9;-9
810200609;31297;65306;124.2;0.2;0.26;-9;-9
810200608;31297;65150;134.9;0.57;0.23;-9;-9
810200607;31297;65036;150.2;1.19;0.14;-9;-9
810200605;31297;64826;174.6;2.65;0.05;-9;-9
810200603;31297;64524;201.2;3.35;0.03;-9;-9
810201422;31397;70802;24.7;-9;0.1;-9;-9
810201420;31397;70516;44.6;-9;0.11;-9;-9
810201418;31397;70226;75;-9;0.11;-9;-9
810201417;31397;70122;79.9;-9;0.11;-9;-9
810201415;31397;65804;114.4;-9;0.26;-9;-9
810201413;31397;65702;119;-9;0.27;-9;-9
810201412;31397;65608;124.3;-9;0.18;-9;-9
810210008;31297;-9;5;-9;0.09;6.983;0.12
810210007;31297;-9;25;-9;0.08;1.547;0.153
810210006;31297;-9;45;-9;0.1;4.853;0.183
810210005;31297;-9;75;-9;0.17;2.877;0.097
810210004;31297;-9;100;-9;0.27;2.633;0.087
810210003;31297;-9;125;-9;0.13;0.55;0.087
810210002;31297;-9;150;-9;0.05;0.12;0.057
820200124;40897;153950;4.8;0;-9;-9;-9
820200123;40897;153744;60.7;0;-9;-9;-9
820200224;40897;191219;9.3;0;-9;-9;-9
820200223;40897;191047;49.9;0.01;-9;-9;-9
820200222;40897;190925;77.7;0.18;-9;-9;-9
820200221;40897;190723;129.1;2.35;-9;-9;-9
820200220;40897;190557;149.5;3.44;-9;-9;-9
820200219;40897;190419;190;5.84;-9;-9;-9
820200218;40897;190229;226;8.3;-9;-9;-9
820200217;40897;190029;269.5;12.66;-9;-9;-9
820200514;40997;34355;224.1;7.35;-9;-9;-9
820200513;40997;34305;234.8;7.78;-9;-9;-9
820200512;40997;34217;249.6;8.53;-9;-9;-9
820200511;40997;34117;274.5;9.4;-9;-9;-9
820200510;40997;34011;300;12.89;-9;-9;-9
820200622;40997;70830;5.1;0.01;0.06;-9;-9
820200621;40997;70724;15.2;0;0.06;-9;-9
820200619;40997;70614;25.4;0.01;0.07;-9;-9
820200618;40997;70504;34.9;0;0.07;-9;-9
820200617;40997;70352;44.3;0.02;0.07;-9;-9
820200616;40997;70204;60.1;0.01;0.1;-9;-9
820200615;40997;70052;75;0.38;0.38;-9;-9
820200614;40997;65938;85.1;0.7;0.35;-9;-9
820200613;40997;65826;95;1.55;0.32;-9;-9
820200612;40997;65718;105.1;1.71;0.28;-9;-9
820200611;40997;65604;115.1;2.52;0.2;-9;-9
820200610;40997;65444;125;2.86;0.11;-9;-9
820200609;40997;65334;134.8;3.23;0.08;-9;-9
820200608;40997;65216;149.9;3.98;0.03;-9;-9
820200607;40997;65110;159.8;-9;0.02;-9;-9
820200606;40997;65002;175.1;5.16;0.01;-9;-9
820200604;40997;64730;200.1;6.37;0;-9;-9
820201417;41097;70009;5.4;-9;0.07;-9;-9
820201414;41097;65740;25.6;-9;0.06;-9;-9
820201412;41097;65531;46.5;-9;0.07;-9;-9
820201410;41097;65239;75.3;-9;0.12;-9;-9
820201408;41097;65007;99.2;-9;0.42;-9;-9
820201406;41097;64747;124.5;-9;0.21;-9;-9
820201404;41097;64517;150.3;-9;0.07;-9;-9
820201403;41097;64345;176.2;-9;0.02;-9;-9
820210008;40997;-9;5;-9;0.06;2.905;0.11
820210007;40997;-9;25;-9;0.08;1.567;0.237
820210006;40997;-9;45;-9;0.09;1.875;0.207
820210005;40997;-9;75;-9;0.27;2.873;0.08
820210004;40997;-9;100;-9;0.12;1.143;0.08
820210003;40997;-9;125;-9;0.03;0.087;0.04
820210002;40997;-9;150;-9;0.01;0.037;0.06
820210001;40997;-9;175;-9;0.02;0.03;0.06
830200124;50697;164710;5.5;-0.02;-9;-9;-9
830200123;50697;164334;150.4;0.64;-9;-9;-9
830200224;50697;194052;4.4;0.01;-9;-9;-9
830200223;50697;193922;56;0.01;-9;-9;-9
830200222;50697;193752;104.9;0.03;-9;-9;-9
830200221;50697;193636;137;0.26;-9;-9;-9
830200220;50697;193546;146.7;0.32;-9;-9;-9
830200219;50697;193420;200.8;2.22;-9;-9;-9
830200218;50697;193224;263.8;6.17;-9;-9;-9
830200514;50797;34722;225.4;2.59;-9;-9;-9
830200513;50797;34630;234.3;2.8;-9;-9;-9
830200512;50797;34528;249;3.64;-9;-9;-9
830200511;50797;34418;274.5;5.71;-9;-9;-9
830200624;50797;70134;4.2;0.01;0.07;-9;-9
830200623;50797;70040;14.7;0.01;0.06;-9;-9
830200622;50797;65942;25;0.02;0.07;-9;-9
830200621;50797;65846;34.6;0.02;0.09;-9;-9
830200620;50797;65754;45.3;0;0.08;-9;-9
830200619;50797;65644;59.9;0.02;0.11;-9;-9
830200618;50797;65548;74.6;0.01;0.1;-9;-9
830200617;50797;65434;85;0.01;0.15;-9;-9
830200616;50797;65340;95.1;0.02;0.18;-9;-9
830200615;50797;65246;104.5;0.02;0.19;-9;-9
830200614;50797;65156;115.3;0.02;0.25;-9;-9
830200613;50797;65100;124.6;0.02;0.26;-9;-9
830200612;50797;65000;134.4;0.08;0.21;-9;-9
830200607;50797;64708;149.1;0.47;0.09;-9;-9
830200605;50797;64450;174.1;0.94;0.04;-9;-9
830200603;50797;64232;199.8;1.86;0.01;-9;-9
830201424;50897;71009;5.8;-9;0.06;-9;-9
830201422;50897;70837;25.5;-9;0.08;-9;-9
830201420;50897;70651;45.1;-9;0.08;-9;-9
830201418;50897;70509;73.8;-9;0.13;-9;-9
830201416;50897;70335;100;-9;0.22;-9;-9
830201410;50897;70041;129.5;-9;0.24;-9;-9
830201408;50897;65827;149.4;-9;0.11;-9;-9
830201407;50897;65713;174.9;-9;0.03;-9;-9
830210008;50797;-9;5;-9;0.07;4.89;0.09
830210007;50797;-9;25;-9;0.09;5.253;0.137
830210006;50797;-9;45;-9;0.12;7.857;0.195
830210005;50797;-9;75;-9;0.17;2.585;0.077
830210004;50797;-9;100;-9;0.26;4.785;0.13
830210003;50797;-9;125;-9;0.13;1.245;0.09
830210002;50797;-9;150;-9;0.04;0.215;-9
830210001;50797;-9;175;-9;0.02;0.04;-9
840200124;60397;160020;5.3;0.02;-9;-9;-9
840200123;60397;155700;144.9;1.01;-9;-9;-9
840200224;60397;191503;8.7;0;-9;-9;-9
840200223;60397;191231;72.9;0;-9;-9;-9
840200222;60397;191133;98.5;0;-9;-9;-9
840200221;60397;191017;130.8;0.75;-9;-9;-9
840200220;60397;190915;143.8;1.3;-9;-9;-9
840200219;60397;190743;193.1;2.44;-9;-9;-9
840200218;60397;190613;241.6;5.59;-9;-9;-9
840200514;60497;35006;225.2;4.27;-9;-9;-9
840200513;60497;34910;235.1;4.5;-9;-9;-9
840200512;60497;34814;249.2;4.86;-9;-9;-9
840200511;60497;34658;273.2;5.86;-9;-9;-9
840200622;60497;65837;5.2;0;0.06;-9;-9
840200621;60497;65741;15.3;0.01;0.06;-9;-9
840200619;60497;65633;24.7;0;0.06;-9;-9
840200618;60497;65521;35.2;0;0.06;-9;-9
840200617;60497;65435;45.6;0.01;0.07;-9;-9
840200616;60497;65339;60.6;0;0.1;-9;-9
840200615;60497;65231;75.4;0;0.11;-9;-9
840200614;60497;65145;85.1;0;0.12;-9;-9
840200613;60497;65053;94.9;0.01;0.15;-9;-9
840200612;60497;64945;104.6;0.01;0.19;-9;-9
840200611;60497;64853;114.6;0.01;0.23;-9;-9
840200610;60497;64753;124.6;0.14;0.27;-9;-9
840200609;60497;64659;134.8;0.76;0.19;-9;-9
840200608;60497;64605;149.3;1.24;0.04;-9;-9
840200607;60497;64505;159.4;-9;0.02;-9;-9
840200606;60497;64407;175;1.8;0.01;-9;-9
840200604;60497;64157;199.9;2.77;0.01;-9;-9
840200924;60497;162650;2.2;-9;0.07;-9;-9
840201424;60597;70148;4.8;-9;0.06;-9;-9
840201421;60597;65936;24.8;-9;0.07;-9;-9
840201419;60597;65624;44.9;-9;0.07;-9;-9
840201417;60597;65520;74.4;-9;0.11;-9;-9
840201414;60597;65254;100.1;-9;0.17;-9;-9
840201412;60597;65038;124.2;-9;0.24;-9;-9
840201405;60597;64748;140.4;-9;0.15;-9;-9
840201404;60597;64648;149.9;-9;0.06;-9;-9
840201403;60597;64520;175;-9;0.01;-9;-9
840210008;60497;-9;5;-9;0.06;8.863;0.183
840210007;60497;-9;25;-9;0.06;8.11;0.217
840210006;60497;-9;45;-9;0.08;5.323;0.227
840210005;60497;-9;75;-9;0.1;2.383;0.19
840210004;60497;-9;100;-9;0.16;2.05;0.103
840210003;60497;-9;125;-9;0.26;1.117;0.087
840210002;60497;-9;150;-9;0.08;0.203;0.083
840210001;60497;-9;175;-9;0.01;0.037;0.033
850200123;70897;172632;162.2;0.56;-9;-9;-9
850200224;70897;201136;4.6;0;-9;-9;-9
850200223;70897;201006;54.5;0;-9;-9;-9
850200222;70897;200906;74.7;0.01;-9;-9;-9
850200221;70897;200808;90.2;0.01;-9;-9;-9
850200220;70897;200700;119.4;0.02;-9;-9;-9
850200219;70897;200510;185;1.54;-9;-9;-9
850200218;70897;200354;205.3;2.12;-9;-9;-9
850200217;70897;200206;260.5;5.52;-9;-9;-9
850200514;70997;40701;225.6;2.61;-9;-9;-9
850200513;70997;40547;235.4;3.28;-9;-9;-9
850200512;70997;40421;251.4;4.59;-9;-9;-9
850200511;70997;40221;273.1;6.4;-9;-9;-9
850200510;70997;40021;299.3;8.54;-9;-9;-9
850200622;70997;70701;5.1;0;0.07;-9;-9
850200621;70997;70541;14.8;0;0.07;-9;-9
850200619;70997;70421;24.4;0;0.07;-9;-9
850200618;70997;70305;35.8;0;0.07;-9;-9
850200617;70997;70151;45.3;0;0.08;-9;-9
850200616;70997;70033;59.4;0.01;0.09;-9;-9
850200615;70997;65909;75.3;0.01;0.11;-9;-9
850200614;70997;65805;84;0.01;0.12;-9;-9
850200613;70997;65651;94.3;0.01;0.15;-9;-9
850200612;70997;65531;104.3;0.02;0.18;-9;-9
850200611;70997;65425;115;0.03;0.19;-9;-9
850200610;70997;65317;124.3;0.21;0.2;-9;-9
850200609;70997;65203;134.5;0.34;0.17;-9;-9
850200608;70997;65037;150.1;0.55;0.12;-9;-9
850200607;70997;64917;158.8;-9;0.08;-9;-9
850200606;70997;64741;174.2;1.37;0.04;-9;-9
850200604;70997;64459;200.3;2.37;0.02;-9;-9
850201423;71097;70906;3.8;-9;0.08;-9;-9
850201420;71097;70526;24.7;-9;0.08;-9;-9
850201418;71097;70222;44.8;-9;0.1;-9;-9
850201416;71097;65944;74.3;-9;0.11;-9;-9
850201414;71097;65702;101.1;-9;0.21;-9;-9
850201412;71097;65420;124.4;-9;0.24;-9;-9
850201406;71097;65102;139.4;-9;0.18;-9;-9
850201405;71097;64948;149.4;-9;0.12;-9;-9
850201404;71097;64808;173.8;-9;0.05;-9;-9
850210008;70997;-9;5;-9;0.08;3.865;0.23
850210007;70997;-9;25;-9;0.08;6.845;0.19
850210006;70997;-9;45;-9;0.07;4.105;0.15
850210005;70997;-9;75;-9;0.11;2.265;0.15
850210004;70997;-9;100;-9;0.21;1.56;0.06
850210003;70997;-9;125;-9;0.18;0.525;0.08
850210002;70997;-9;150;-9;0.06;0.115;0.03
860200119;80297;50106;225;2.88;-9;-9;-9
860200118;80297;45952;233.5;3.13;-9;-9;-9
860200116;80297;45808;248.9;3.77;-9;-9;-9
860200115;80297;45640;273.8;5.3;-9;-9;-9
860200113;80297;45452;299.4;8.43;-9;-9;-9
860200222;80297;80201;4.6;0.02;0.05;-9;-9
860200221;80297;80101;14.3;0.01;0.05;-9;-9
860200219;80297;75937;24.9;0.01;0.05;-9;-9
860200218;80297;75811;35.3;0.01;0.06;-9;-9
860200217;80297;75715;43.9;0;0.06;-9;-9
860200216;80297;75613;59.9;0.02;0.09;-9;-9
860200215;80297;75501;77.3;0.02;0.13;-9;-9
860200214;80297;75359;85.1;0.01;0.14;-9;-9
860200213;80297;75305;94.7;0.02;0.16;-9;-9
860200212;80297;75213;101.7;0.03;0.2;-9;-9
860200211;80297;75115;114.3;0.15;0.17;-9;-9
860200210;80297;74953;124.7;0.4;0.13;-9;-9
860200209;80297;74851;134.1;0.53;0.1;-9;-9
860200208;80297;74755;149.5;1.16;0.05;-9;-9
860200207;80297;74701;159.7;-9;0.04;-9;-9
860200206;80297;74559;175;1.67;0.02;-9;-9
860200204;80297;74401;199.6;2.52;0.01;-9;-9
860201022;80397;80348;4.8;-9;0.06;-9;-9
860201020;80397;80110;23.3;-9;0.06;-9;-9
860201016;80397;75616;45;-9;0.07;-9;-9
860201014;80397;75354;74.7;-9;0.11;-9;-9
860201012;80397;75119;99.5;-9;0.18;-9;-9
860201011;80397;74938;120.6;-9;0.18;-9;-9
860201005;80397;74746;123.8;-9;0.16;-9;-9
860201004;80397;74620;149.4;-9;0.05;-9;-9
860201003;80397;74428;173.8;-9;0.03;-9;-9
860201224;80397;141711;4.9;0;-9;-9;-9
860201223;80397;141521;51.3;0.03;-9;-9;-9
860201222;80397;141331;90.4;0.01;-9;-9;-9
860201221;80397;141155;130.7;0;-9;-9;-9
860201220;80397;141045;141.6;0.19;-9;-9;-9
860201219;80397;140859;190.5;1.9;-9;-9;-9
860201218;80397;140749;227.7;2.59;-9;-9;-9
860201217;80397;140549;275.3;4.85;-9;-9;-9
860201324;80397;190427;4.8;0;-9;-9;-9
860201323;80397;190229;77.2;0;-9;-9;-9
860210008;80297;-9;5;-9;0.05;3.573;0.19
860210007;80297;-9;25;-9;0.06;6.953;0.193
860210006;80297;-9;45;-9;0.07;6.047;0.227
860210005;80297;-9;75;-9;0.12;2.347;0.223
860210004;80297;-9;100;-9;0.23;1.843;0.123
860210003;80297;-9;125;-9;0.12;0.61;0.053
860210002;80297;-9;150;-9;0.06;0.143;0.037
860210001;80297;-9;175;-9;0.05;0.113;0.065
870200115;92597;60018;209.3;2.03;-9;-9;-9
870200114;92597;55847;224.9;3.15;-9;-9;-9
870200113;92597;55742;232.9;3.43;-9;-9;-9
870200112;92597;55610;249.9;4.47;-9;-9;-9
870200111;92597;55425;273.6;6.13;-9;-9;-9
870200110;92597;55235;299.6;7.23;-9;-9;-9
870200222;92597;90724;4.5;0;0.05;-9;-9
870200221;92597;90604;14;0.01;0.06;-9;-9
870200219;92597;90440;25.2;0;0.06;-9;-9
870200217;92597;90208;44.7;0;0.06;-9;-9
870200216;92597;90042;59.6;0;0.06;-9;-9
870200215;92597;85908;75.5;0.01;0.1;-9;-9
870200214;92597;85804;84.6;0;0.13;-9;-9
870200213;92597;85700;93.9;0.01;0.15;-9;-9
870200212;92597;85544;104.6;0.01;0.17;-9;-9
870200211;92597;85440;114.1;0;0.19;-9;-9
870200210;92597;85332;125;0.03;0.21;-9;-9
870200208;92597;85100;149.6;0.44;-9;-9;-9
870200207;92597;84950;160.1;-9;0.14;-9;-9
870200206;92597;84840;174.3;1.4;-9;-9;-9
870200205;92597;84730;184.7;-9;0.05;-9;-9
870200204;92597;84616;198.4;1.08;0.03;-9;-9
870200321;92597;120402;5.1;-9;0.06;-9;-9
870200317;92597;120128;24.6;-9;0.06;-9;-9
870200315;92597;115938;44.3;-9;0.06;-9;-9
870200313;92597;115730;74.8;-9;0.11;-9;-9
870200310;92597;115504;98.9;-9;0.16;-9;-9
870200308;92597;115312;125;-9;0.22;-9;-9
870200307;92597;115216;135;-9;0.18;-9;-9
870200305;92597;115028;149.7;-9;0.11;-9;-9
870200303;92597;114812;174.1;-9;0.04;-9;-9
870200624;92597;215547;4.1;0;-9;-9;-9
870200623;92597;215357;38.7;0;-9;-9;-9
870200622;92597;215231;72.9;0;-9;-9;-9
870200621;92597;215127;90;0;-9;-9;-9
870200620;92597;215017;103.5;0;-9;-9;-9
870200619;92597;214847;161.2;0.82;-9;-9;-9
870200618;92597;214747;179;1.54;-9;-9;-9
870200617;92597;214647;204.6;2.04;-9;-9;-9
870200616;92597;214427;273.9;5.27;-9;-9;-9
870200615;92597;214259;297.3;6.95;-9;-9;-9
870200724;92697;33018;4.5;0;-9;-9;-9
870200723;92697;32810;60.7;0;-9;-9;-9
870210008;92597;-9;5;-9;0.06;5.837;0.263
870210007;92597;-9;25;-9;0.06;6.42;0.253
870210006;92597;-9;45;-9;0.06;4.353;0.333
870210005;92597;-9;75;-9;-9;2.61;0.23
870210004;92597;-9;100;-9;0.19;1.203;0.24
870210003;92597;-9;125;-9;0.18;0.677;0.07
870210002;92597;-9;150;-9;0.08;0.17;0.08
880200115;120597;12935;211.7;3.1;-9;-9;-9
880200114;120597;12825;224.2;3.84;-9;-9;-9
880200113;120597;12727;232.9;4.18;-9;-9;-9
880200112;120597;12621;249.6;5.72;-9;-9;-9
880200111;120597;12519;273.5;8.3;-9;-9;-9
880200110;120597;12355;299.4;11.59;-9;-9;-9
880200221;120597;50854;5.3;0;0.15;-9;-9
880200220;120597;50746;14.6;0.01;0.16;-9;-9
880200219;120597;50632;25.3;0.01;0.16;-9;-9
880200218;120597;50524;33.2;0.01;0.15;-9;-9
880200217;120597;50412;43.6;0.01;0.15;-9;-9
880200216;120597;50305;59.4;0.01;0.15;-9;-9
880200215;120597;50152;73.8;0.02;0.16;-9;-9
880200214;120597;50045;84.5;0.02;0.15;-9;-9
880200213;120597;45942;95.3;0.02;0.15;-9;-9
880200212;120597;45828;106.7;0.03;0.16;-9;-9
880200211;120597;45717;115.2;0.02;0.16;-9;-9
880200210;120597;45609;124.5;0.13;0.18;-9;-9
880200209;120597;45507;134;0.22;0.13;-9;-9
880200208;120597;45353;148.7;0.63;0.08;-9;-9
880200207;120597;45255;159.4;1.14;-9;-9;-9
880200206;120597;45143;173.6;2;0.03;-9;-9
880200205;120597;45035;185.2;2.37;-9;-9;-9
880200204;120597;44920;200.3;2.87;0.01;-9;-9
880200316;120597;75422;4.2;-9;0.15;-9;-9
880200315;120597;75256;24.4;-9;0.15;-9;-9
880200314;120597;75138;45.2;-9;0.15;-9;-9
880200312;120597;74926;74.4;-9;0.14;-9;-9
880200311;120597;74810;99.1;-9;0.17;-9;-9
880200310;120597;74650;124.6;-9;0.23;-9;-9
880200309;120597;74534;149.6;-9;0.11;-9;-9
880200308;120597;74412;174.5;-9;0.05;-9;-9
880200724;120697;21824;4.6;0;-9;-9;-9
880200723;120697;21642;50.2;0;-9;-9;-9
880200722;120697;21452;110.5;0.01;-9;-9;-9
880200721;120697;21352;120.3;0.14;-9;-9;-9
880200720;120697;21258;130.6;0.19;-9;-9;-9
880200719;120697;21118;180;1.94;-9;-9;-9
880200718;120697;20858;253.5;5.55;-9;-9;-9
880200824;120697;82601;4.4;0;-9;-9;-9
890200124;11098;155517;5.1;0;-9;-9;-9
890200224;11098;191258;10.6;0;-9;-9;-9
890200223;11098;191100;73.9;0;-9;-9;-9
890200222;11098;190942;103.4;0.04;-9;-9;-9
890200221;11098;190806;145.3;0.95;-9;-9;-9
890200220;11098;190658;170;1.94;-9;-9;-9
890200219;11098;190530;210.4;3.54;-9;-9;-9
890200218;11098;190356;259.7;7.22;-9;-9;-9
890200514;11198;35157;223.4;4.33;-9;-9;-9
890200513;11198;35047;236.7;4.71;-9;-9;-9
890200512;11198;34927;248.7;5.02;-9;-9;-9
890200511;11198;34757;274.2;6.41;-9;-9;-9
890200510;11198;34627;299.4;8.67;-9;-9;-9
890200622;11198;70203;4.6;0;0.08;-9;-9
890200621;11198;70037;14.7;0;0.07;-9;-9
890200619;11198;65903;24.6;0.01;0.08;-9;-9
890200618;11198;65743;34.6;0.02;0.1;-9;-9
890200617;11198;65623;43.6;0.02;0.15;-9;-9
890200616;11198;65443;59.1;0.03;0.17;-9;-9
890200615;11198;65317;75.3;0.03;-9;-9;-9
890200614;11198;65203;84.9;0.03;0.21;-9;-9
890200613;11198;65053;94.8;0.15;0.25;-9;-9
890200612;11198;64953;104.3;0.24;0.22;-9;-9
890200611;11198;64843;114.7;0.44;0.17;-9;-9
890200610;11198;64733;124.4;0.57;0.11;-9;-9
890200609;11198;64627;134.7;0.94;0.04;-9;-9
890200608;11198;64517;149.4;1.29;0.03;-9;-9
890200607;11198;64413;159.8;-9;0.02;-9;-9
890200606;11198;64257;173.6;2.47;0.02;-9;-9
890200604;11198;64023;201.8;3.58;0.01;-9;-9
890201414;11298;65527;4.4;-9;0.07;-9;-9
890201413;11298;65401;23.6;-9;0.07;-9;-9
890201411;11298;65221;44.3;-9;0.13;-9;-9
890201410;11298;65107;59.8;-9;0.16;-9;-9
890201409;11298;64945;74.9;-9;0.17;-9;-9
890201408;11298;64837;88.3;-9;0.19;-9;-9
890201407;11298;64731;100.3;-9;0.21;-9;-9
890201405;11298;64605;119.2;-9;0.23;-9;-9
890201404;11298;64445;147.5;-9;0.09;-9;-9
890201403;11298;64301;175.7;-9;0.02;-9;-9
890210008;11198;-9;5;-9;0.08;5.47;0.15
890210007;11198;-9;25;-9;0.08;5.367;0.15
890210006;11198;-9;45;-9;0.08;3.06;0.147
890210005;11198;-9;75;-9;0.24;3.093;0.07
890210004;11198;-9;100;-9;0.24;0.867;0.057
890210003;11198;-9;125;-9;0.15;0.253;0.037
890210002;11198;-9;150;-9;0.03;0.037;0.04
890210001;11198;-9;175;-9;0.04;0.063;0.05
900200124;21898;172852;5.4;0;-9;-9;-9
900200224;21898;205408;5.2;0;-9;-9;-9
900200223;21898;205202;50.5;0;-9;-9;-9
900200222;21898;205008;94;0.03;-9;-9;-9
900200221;21898;204758;144.5;1.48;-9;-9;-9
900200220;21898;204607;199.1;2.59;-9;-9;-9
900200219;21898;204414;232.3;4.39;-9;-9;-9
900200414;21998;25251;224.5;6.16;-9;-9;-9
900200413;21998;25141;234.3;6.41;-9;-9;-9
900200412;21998;25021;249.4;7.83;-9;-9;-9
900200411;21998;24851;275.2;10.05;-9;-9;-9
900200410;21998;24721;299.2;11.53;-9;-9;-9
900200522;21998;60516;5.1;0;0.08;-9;-9
900200521;21998;60402;13.8;0;0.07;-9;-9
900200519;21998;60222;24.5;0.01;0.08;-9;-9
900200518;21998;60042;34.9;0.01;0.09;-9;-9
900200517;21998;55926;44.6;0.01;0.1;-9;-9
900200516;21998;55752;59.5;0.01;0.12;-9;-9
900200515;21998;55616;74;0.02;0.14;-9;-9
900200514;21998;55502;84.6;0.06;0.31;-9;-9
900200513;21998;55348;94.5;0.24;0.32;-9;-9
900200512;21998;55232;105.2;0.48;0.23;-9;-9
900200511;21998;55116;116.1;0.88;0.15;-9;-9
900200510;21998;54952;125.8;1.02;0.11;-9;-9
900200509;21998;54832;135;1.17;0.09;-9;-9
900200508;21998;54712;149;1.54;0.06;-9;-9
900200507;21998;54552;161;-9;0.03;-9;-9
900200506;21998;54422;174.2;2.18;0.04;-9;-9
900200504;21998;54146;199.8;2.84;0.01;-9;-9
900201419;22098;85901;4.3;-9;0.08;-9;-9
900201416;22098;85627;24.8;-9;0.08;-9;-9
900201414;22098;85407;43.7;-9;0.09;-9;-9
900201412;22098;85151;73.2;-9;0.15;-9;-9
900201409;22098;84917;98.5;-9;0.22;-9;-9
900201407;22098;84753;119.5;-9;0.26;-9;-9
900201406;22098;84651;122.9;-9;0.24;-9;-9
900201404;22098;84427;150.1;-9;0.1;-9;-9
900201403;22098;84253;173.4;-9;0.03;-9;-9
900210008;21998;-9;5;-9;0.08;5.205;0.133
